2021-03-14 05:52:03,b'MobiKwik - Flat Rs.10 Cashback On Your First Prepaid Or Postpaid Mobile Transactions This Month*\xe2\x80\xa6 https://t.co/Gj3c88QCwI'
2021-03-14 05:45:22,b'RT @ZeeNewsEnglish: #Airtel offering free data and unlimited calls in THESE plans https://t.co/Nb5y5X3d3a'
2021-03-14 05:44:45,b'#Airtel offering free data and unlimited calls in THESE plans https://t.co/Nb5y5X3d3a'
2021-03-14 05:40:38,b'No active response from #airtel. #AirtelDown \n@airtelindia @Airtel_Presence @JioCare @VodafoneGroup'
2021-03-14 05:29:56,b'Video link \xf0\x9f\x91\x89 https://t.co/stedXDypz8 #stockmarket #Askmoneypurse #stockmarkets #stockanalysis #stocks2021 #mtar\xe2\x80\xa6 https://t.co/QsxvGmC3I5'
2021-03-14 05:26:07,b'Jio is a Game Changer in Telecom Industry.... \n\nStill #Airtel &amp; #Vodafone are Great players when it comes to quality &amp; Speed!'
2021-03-14 05:03:07,"b""After a lots of follow up from last one month, still your network team not able to resolve Internet issue, don't kn\xe2\x80\xa6 https://t.co/CzuLnFQ6lp"""
2021-03-14 05:02:24,"b'RT @imsnehalvakilna: Phone Pay Cash Back Fraud on Cyber Raksha With Snehal Vakilna  @khabarchhe\n \n#Cybersecurity , #cybershowwithsnehalvaki\xe2\x80\xa6'"
2021-03-14 05:01:25,"b'RT @SantanuB01: Listening to the  #Master #RahulDravid on how to handle criticism, control your ego and never  stop learning -at #Airtel ma\xe2\x80\xa6'"
2021-03-14 04:49:07,b'Real shame #sunilbhartimittal #gopalvittal to make money like this. No justice in this country. #shameless #airtel\xe2\x80\xa6 https://t.co/aa0niN184P'
2021-03-14 04:42:00,"b'RT @imsnehalvakilna: Phone Pay Cash Back Fraud on Cyber Raksha With Snehal Vakilna  @khabarchhe\n \n#Cybersecurity , #cybershowwithsnehalvaki\xe2\x80\xa6'"
2021-03-14 04:41:34,"b'Phone Pay Cash Back Fraud on Cyber Raksha With Snehal Vakilna  @khabarchhe\n \n#Cybersecurity ,\xe2\x80\xa6 https://t.co/yhIVUYBG7D'"
2021-03-14 04:23:50,b'RT @AnandhJose: Dear @airtelindia kindly keep your word and replace my copper broadband connection with Fiber.Seeking a video is just annoy\xe2\x80\xa6'
2021-03-14 04:20:30,"b'@hateabhinay @sunita76236582 @HathwayBrdband yes, their network stability is 0, thats why i shifted to #airtel and now i am really happy'"
2021-03-14 04:16:33,b'#airtel #digitalTV Since you came up with this hidden condition of 12 month FORCED usage of your *BAKWAAS* service\xe2\x80\xa6 https://t.co/VijgD2Kbzq'
2021-03-14 03:51:25,"b""@bigbasket_com You haven't fixed the problem yet. I cannot add money thru my @paytm. Why should I link my wallet? Y\xe2\x80\xa6 https://t.co/GzPJOPzByN"""
2021-03-14 03:35:07,b'@Airtel @airtelindia @Airtel_Presence @airtelnews @Airtel poor services and no improvement then they complain of lo\xe2\x80\xa6 https://t.co/2gk3HTJyCZ'
2021-03-14 03:30:18,b'@airtelbank Hey you cheat #airtelbank.  U bastards loot customers by making their wallet negative and then you chea\xe2\x80\xa6 https://t.co/BXhAAQg51m'
2021-03-14 03:23:26,"b'RT @AbhinjoyP: Where all the countries in the world have banned the Chinese company #Huawei, #Airtel is expanding its business relations wi\xe2\x80\xa6'"
2021-03-14 03:22:04,b'RT @thewave_India: Huawei - Bharti Airtel contract creates ripples on social media. Mix of positive and negative response.\n#airtel #huawei\xe2\x80\xa6'
2021-03-14 03:20:14,"b""RT @JaySreeRam0: Let's boycott #Airtel"""
2021-03-14 02:43:16,b'@airtel #airtel @airtelindia  @Govt of India @bhartiairtel  Airtel is turning itself into worst telecom company. Us\xe2\x80\xa6 https://t.co/QCVjck39PC'
2021-03-14 02:17:03,b'RT @PremnathPK2: Airtel jio network \xf0\x9f\x98\x85\xf0\x9f\x98\x85 #airtel #jio \n#funny \n#100DFor\xe0\xae\xa4\xe0\xae\xb3\xe0\xae\xaa\xe0\xae\xa4\xe0\xae\xbfVIJAYBday #Master https://t.co/5rm9qQNN7L'
2021-03-14 01:55:43,"b'RT @marathemayu: @itsNirbhayS @Airtel_Presence @airtelbank @airtelnews Additional benefits are for #Airtel, not for Users \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3'"
2021-03-14 01:44:20,"b'Airtel complaints option in Airtel app is just a scam, i did multiple complaints using Airtel app but it always sho\xe2\x80\xa6 https://t.co/4v24tn7mbP'"
2021-03-14 01:39:50,b'RT @PremnathPK2: Airtel jio network \xf0\x9f\x98\x85\xf0\x9f\x98\x85 #airtel #jio \n#funny \n#100DFor\xe0\xae\xa4\xe0\xae\xb3\xe0\xae\xaa\xe0\xae\xa4\xe0\xae\xbfVIJAYBday #Master https://t.co/5rm9qQNN7L'
2021-03-14 01:36:39,"b'@itsNirbhayS @Airtel_Presence @airtelbank @airtelnews Additional benefits are for #Airtel, not for Users \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3'"
2021-03-14 00:48:26,b'@BSNLCorporate @BSNLUPWEST when #airtel and #jio both are dead what can be expected from you #BSNLMainpuri. We can\xe2\x80\x99\xe2\x80\xa6 https://t.co/dwpT3Dbf4I'
2021-03-13 23:29:19,b'Foreign used 010 Mercedes-Benz c300 \xf0\x9f\x94\xa5..\nPrice: 5m asking \nLocation: lagos \nCall:08174414959 for more information\xe2\x80\xa6 https://t.co/iyUF2RRlhn'
2021-03-13 23:00:26,"b""RT @PatilSushmit: By the way, i don't use Airtel. But still it needs to be bann. Here we have banned the chinese applications for stealing\xe2\x80\xa6"""
2021-03-13 22:26:46,b'NEPA officials @comedianmakana @shank_comics @yabaleftonline @Realtundeednut1 @expatriatecomedian\n#godnogoshameus\xe2\x80\xa6 https://t.co/fAsMJCpBSX'
2021-03-13 22:05:02,"b'They tried their best, without informing anybody but only by SMS to share feedback, after half an hour of feedback\xe2\x80\xa6 https://t.co/nDhhe09SFc'"
2021-03-13 20:16:34,b'RT @malikiumar85: A THREAD \xe2\x98\x80\xef\xb8\x8f\xf0\x9f\xa5\xba\nOriginal Caps\n\nReady for PICKUP \xf0\x9f\x92\xaf and delivery Nationwide \xf0\x9f\x9a\x9a\n\nPlease RT \xf0\x9f\x99\x8f\xf0\x9f\x94\x84\nDM or call \xf0\x9f\x93\x9e 07067898424\n#AbujaTwi\xe2\x80\xa6'
